anno,provincia,tipo_strada,tipo_carreggiata,punto_incidente,segnaletica,condizioni_meteorologiche,natura_incidente,altri_veicoli_coinvolti,morti_entro_24_ore,morti_entro_30_giorni,feriti,Ora,trimestre,hospital,police,school,popolazione_provincia,parco_veicolare
2018,Oristano,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,2,3,1,6,12,7,159218,133190
2018,Oristano,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Vento forte,Tamponamento,0,0,0,3,20,1,6,12,7,159218,133190
2018,Sud Sardegna,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Vento forte,Urto con veicolo in fermata o in arresto,0,0,0,2,20,1,10,22,15,353830,277170
2018,Sassari,Provinciale,Una carreggiata a doppio senso,"Dosso, strettoia",Verticale,Sereno,Tamponamento,0,0,0,2,21,1,4,34,29,492642,420025
2018,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Investimento di pedoni,0,0,0,1,11,1,10,22,15,353830,277170
2018,Cagliari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,1,1,0,18,1,4,19,35,431955,355705
2018,Cagliari,Provinciale entro l'abitato,Una carreggiata a doppio senso,Incrocio,Verticale e orizzontale,Sereno,Scontro frontale,0,0,0,2,21,1,4,19,35,431955,355705
2018,Cagliari,Strada urbana nell'abitato,Una carreggiata a senso unico,Incrocio,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,1,22,1,4,19,35,431955,355705
2018,Cagliari,Strada urbana nell'abitato,Una carreggiata a senso unico,Curva,Verticale e orizzontale,Sereno,Urto con veicolo in sosta,0,0,0,1,23,1,4,19,35,431955,355705
2018,Nuoro,Statale,Una carreggiata a doppio senso,Curva,Verticale e orizzontale,Pioggia,Scontro frontale,0,0,0,7,19,1,5,27,10,210531,184356
2018,Sud Sardegna,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Pioggia,Scontro frontale-laterale,0,0,0,2,8,1,10,22,15,353830,277170
2018,Sud Sardegna,Statale,Una carreggiata a doppio senso,Curva,Assente,Pioggia,"Fuoriuscita, sbandamento",0,0,0,1,17,1,10,22,15,353830,277170
2018,Sassari,Provinciale,Una carreggiata a doppio senso,Curva,Orizzontale,Sereno,"Fuoriuscita, sbandamento",0,0,0,1,21,1,4,34,29,492642,420025
2018,Sassari,Strada urbana nell'abitato,Più di due carreggiate,Rettilineo,Orizzontale,Sereno,Investimento di pedoni,0,0,0,1,9,1,4,34,29,492642,420025
2018,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Intersezione segnalata,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,5,1,10,22,15,353830,277170
2018,Sud Sardegna,Provinciale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,"Fuoriuscita, sbandamento",0,0,0,1,5,1,10,22,15,353830,277170
2018,Sud Sardegna,Statale,Una carreggiata a doppio senso,Intersezione segnalata,Verticale,Sereno,Tamponamento,0,0,0,1,11,1,10,22,15,353830,277170
2018,Nuoro,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Scontro frontale,0,0,0,1,20,1,5,27,10,210531,184356
