anno	provincia	localizzazione_incidente	tipo_di_strada	intersezione_o_non_interse3	segnaletica	condizioni_meteorologiche	natura_incidente	veicolo__a___et__conducente	veicolo__a___esito_conducente	veicolo__b___et__conducente	veicolo__b___esito_conducente	altri_veicoli_coinvolti	morti_entro_24_ore	morti_entro_30_giorni	feriti	Ora	trimestre
21	090	1	2	07	4	1	08	45-54	2	     	 	0	0	0	1	19	1
21	090	1	2	01	3	1	02	30-44	2	55-64	2	0	0	0	2	16	1
21	090	1	1	01	4	3	02	30-44	1	45-54	2	0	0	0	1	12	1
21	090	1	2	08	4	1	01	65+  	2	30-44	2	0	0	0	2	16	1
21	090	1	1	01	4	7	02	65+  	1	30-44	1	0	0	0	1	16	1
21	090	1	1	01	4	1	02	45-54	1	18-29	2	0	0	0	1	15	1
21	090	1	2	07	2	3	02	30-44	2	65+  	2	0	0	0	2	10	1
21	090	1	2	07	4	7	04	30-44	2	65+  	2	0	0	0	3	18	1
21	090	1	2	01	4	7	02	45-54	2	45-54	1	0	0	0	2	08	1
21	091	1	2	04	4	1	05	55-64	1	     	 	0	0	0	1	10	1
21	091	1	2	01	4	1	12	30-44	2	     	 	0	0	0	1	08	1
21	091	1	1	03	4	1	02	30-44	1	30-44	2	0	0	0	1	14	1
21	091	1	2	01	4	1	02	45-54	1	30-44	1	0	0	0	1	17	1
21	091	1	2	01	4	3	05	45-54	1	     	 	0	0	0	1	11	1
21	091	1	3	01	4	1	05	18-29	1	     	 	0	0	0	1	18	1
21	092	1	3	01	4	7	04	45-54	1	55-64	2	0	0	0	4	12	1
21	092	1	3	01	4	1	02	30-44	2	65+  	1	0	0	0	1	15	1
21	092	1	2	07	4	7	10	55-64	2	     	 	0	0	0	1	07	1
21	092	1	2	03	4	3	02	55-64	1	18-29	1	0	0	0	2	18	1
21	092	1	2	03	4	3	02	45-54	1	55-64	2	0	0	0	1	13	1
21	092	1	2	03	4	7	02	30-44	2	30-44	1	0	0	0	1	07	1
21	092	1	2	07	3	7	01	30-44	2	18-29	2	0	0	0	3	16	1
21	092	1	2	03	4	7	02	65+  	1	45-54	2	0	0	0	1	13	1
21	092	1	2	01	4	7	05	45-54	1	     	 	0	0	0	1	13	1
21	092	1	2	07	4	6	04	18-29	1	30-44	2	0	0	0	1	16	1
21	092	1	2	07	4	1	04	45-54	1	30-44	2	0	0	0	3	11	1
21	092	1	2	07	4	7	04	30-44	1	30-44	1	0	0	0	1	20	1
21	092	1	2	07	4	1	03	55-64	1	30-44	2	0	0	0	1	17	1
21	092	1	2	07	4	1	04	45-54	2	30-44	1	0	0	0	1	18	1
21	092	1	2	07	4	1	03	65+  	1	30-44	2	0	0	0	2	10	1
21	092	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	11	1
21	092	1	2	03	4	1	02	45-54	1	55-64	2	0	0	0	1	10	1
21	092	1	2	03	4	1	02	15-17	2	30-44	1	0	0	0	2	21	1
21	092	1	2	01	3	1	03	45-54	1	45-54	2	0	0	0	1	08	1
21	092	1	2	01	4	3	03	30-44	1	18-29	2	0	0	0	1	17	1
21	092	1	2	04	4	1	02	55-64	2	65+  	1	0	0	0	1	21	1
21	092	1	2	01	4	1	03	65+  	2	45-54	1	0	0	0	1	18	1
21	092	1	2	03	4	1	02	30-44	1	55-64	1	0	0	0	2	08	1
21	092	1	2	03	4	7	05	65+  	1	     	 	0	0	0	1	10	1
21	092	1	2	07	5	1	03	45-54	2	55-64	2	0	0	0	2	08	1
21	092	1	2	07	4	1	03	55-64	1	30-44	2	0	0	0	1	11	1
21	092	1	2	01	4	1	05	55-64	1	     	 	0	0	0	1	19	1
21	092	1	2	07	4	1	04	30-44	1	30-44	2	0	0	0	2	19	1
21	092	1	2	02	4	1	02	55-64	1	18-29	2	0	0	0	2	20	1
21	092	1	2	07	4	1	05	55-64	1	     	 	0	0	0	1	19	1
21	092	1	2	07	1	1	01	30-44	2	18-29	1	0	0	0	1	17	1
21	092	1	2	07	1	1	02	18-29	2	30-44	1	0	0	0	1	17	1
21	092	1	1	01	4	1	02	30-44	1	ott-14	2	0	0	0	1	20	1
21	092	1	1	03	4	1	02	18-29	2	18-29	1	0	0	0	1	13	1
21	092	1	1	02	4	1	02	55-64	1	30-44	2	0	0	0	2	16	1
21	092	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	18	1
21	092	1	1	03	4	1	02	45-54	2	18-29	1	0	0	0	1	14	1
21	092	6	3	07	4	7	04	65+  	2	45-54	2	1	0	0	3	06	1
21	092	1	2	03	4	1	02	18-29	1	18-29	2	0	0	0	1	16	1
21	092	1	1	02	4	3	04	45-54	2	55-64	1	0	0	0	1	08	1
21	092	8	2	01	4	1	02	45-54	2	18-29	2	0	0	0	3	13	1
21	092	4	3	03	4	1	03	30-44	2	18-29	1	0	0	0	2	13	1
21	092	4	2	03	4	1	02	30-44	1	18-29	2	0	0	0	1	19	1
21	092	1	2	07	4	1	05	18-29	1	     	 	0	0	0	1	11	1
21	092	1	2	03	4	3	02	45-54	1	30-44	2	0	0	0	1	13	1
21	092	5	2	08	4	1	01	65+  	2	30-44	1	0	0	0	1	14	1
21	092	1	2	01	4	7	01	55-64	1	30-44	2	0	0	0	1	18	1
21	092	1	3	07	4	1	06	18-29	1	45-54	1	0	0	0	1	18	1
21	095	1	2	01	4	1	02	30-44	2	45-54	2	0	0	0	3	10	1
21	095	1	1	01	4	1	02	18-29	2	45-54	1	0	0	0	1	11	1
21	095	1	1	01	2	1	06	65+  	1	55-64	1	0	0	0	1	12	1
21	095	1	2	07	4	1	02	55-64	1	30-44	2	0	0	0	1	14	1
21	111	1	2	02	4	3	02	30-44	2	65+  	1	0	0	0	1	19	1
21	111	1	1	07	3	1	01	65+  	1	30-44	2	0	0	0	1	13	1
21	111	1	2	02	4	3	08	18-29	2	     	 	0	0	0	1	18	1
21	111	1	2	07	3	3	05	65+  	1	     	 	0	0	0	1	18	1
21	111	3	2	07	4	3	04	30-44	1	55-64	2	0	0	0	1	10	1
21	111	1	2	07	1	1	07	18-29	2	     	 	0	0	0	1	17	1
21	090	1	2	02	4	1	02	65+  	1	18-29	2	0	0	0	1	02	1
21	090	1	3	03	4	1	03	55-64	2	55-64	1	0	0	0	1	10	1
21	090	1	2	01	4	1	02	65+  	1	18-29	2	0	0	0	1	16	1
21	090	1	3	03	4	1	11	30-44	2	     	 	0	0	0	1	17	1
21	090	1	1	07	4	1	05	30-44	1	     	 	0	0	0	1	12	1
21	090	1	3	07	4	1	08	30-44	2	     	 	0	0	0	1	17	1
21	090	1	2	02	4	1	02	30-44	1	65+  	2	0	0	0	1	08	1
21	090	6	2	07	3	1	04	65+  	1	45-54	2	1	0	0	3	11	1
21	090	1	2	07	4	1	04	45-54	1	55-64	2	0	0	0	1	06	1
21	090	5	2	08	4	6	11	45-54	2	     	 	0	0	0	1	08	1
21	090	1	2	07	4	1	04	45-54	2	65+  	1	0	0	0	2	11	1
21	090	1	2	07	4	1	05	45-54	1	     	 	0	0	0	1	08	1
21	090	1	2	07	3	7	02	30-44	1	45-54	2	0	0	0	1	08	1
21	090	1	2	01	4	1	02	45-54	2	18-29	1	0	0	0	1	10	1
21	090	1	2	01	4	1	04	30-44	1	30-44	1	0	0	0	2	15	1
21	090	1	1	07	1	1	12	ott-14	2	     	 	0	0	0	1	17	1
21	090	6	2	07	3	1	04	65+  	2	45-54	2	0	0	0	3	08	1
21	090	1	2	07	1	1	03	30-44	1	30-44	2	0	0	0	1	17	1
21	090	1	1	03	4	1	03	55-64	1	30-44	2	0	0	0	1	10	1
21	090	1	2	07	4	7	12	45-54	2	     	 	0	0	0	1	11	1
21	090	1	2	01	4	1	02	55-64	2	45-54	1	0	0	0	2	16	1
21	090	6	2	07	5	1	06	30-44	1	45-54	2	0	0	0	1	11	1
21	091	1	1	05	1	1	05	45-54	1	     	 	0	0	0	1	15	1
21	091	1	1	07	4	1	04	45-54	1	45-54	2	0	0	0	1	18	1
21	091	1	1	10	1	1	05	45-54	1	     	 	0	0	0	1	12	1
21	091	1	2	01	4	1	02	65+  	1	30-44	2	0	0	0	1	19	1
21	091	1	2	08	4	1	08	45-54	3	     	 	0	1	0	0	14	1
21	092	6	3	04	4	1	04	45-54	2	65+  	1	0	0	0	2	10	1
21	092	1	2	07	4	1	04	30-44	1	65+  	2	0	0	0	1	12	1
21	092	1	2	07	4	1	10	18-29	2	     	 	0	0	0	1	17	1
21	092	1	2	03	4	1	02	65+  	1	55-64	2	0	0	0	1	14	1
21	092	1	2	03	3	1	04	30-44	1	55-64	2	0	0	0	2	16	1
21	092	1	2	07	3	1	05	18-29	1	     	 	0	0	0	1	08	1
21	092	1	2	07	4	1	05	18-29	1	     	 	0	0	0	1	19	1
21	092	1	2	03	4	1	02	18-29	1	18-29	2	0	0	0	1	20	1
21	092	1	2	04	4	1	02	55-64	2	30-44	2	0	0	0	3	08	1
21	092	1	2	04	4	1	02	30-44	2	45-54	1	0	0	0	1	11	1
21	092	1	2	04	4	7	02	55-64	1	30-44	1	0	0	0	1	14	1
21	092	1	2	03	4	1	02	55-64	2	45-54	2	0	0	0	3	11	1
21	092	1	2	01	4	1	03	45-54	1	45-54	2	0	0	0	1	09	1
21	092	1	2	07	4	1	05	45-54	1	     	 	0	0	0	1	09	1
21	092	3	2	07	4	1	02	30-44	3	45-54	2	0	1	0	1	13	1
21	092	1	2	03	4	3	02	55-64	1	18-29	2	0	0	0	1	16	1
21	092	1	2	07	4	3	05	45-54	1	     	 	0	0	0	1	16	1
21	092	1	2	07	3	1	03	55-64	2	65+  	1	0	0	0	1	12	1
21	092	1	2	07	4	7	03	30-44	1	18-29	2	0	0	0	1	14	1
21	092	1	2	03	4	1	05	55-64	1	     	 	0	0	0	1	08	1
21	092	1	2	07	4	1	05	18-29	1	     	 	0	0	0	1	15	1
21	092	3	2	07	4	1	03	30-44	2	30-44	1	1	0	0	2	18	1
21	092	1	2	07	4	1	05	18-29	1	     	 	0	0	0	1	09	1
21	092	1	2	07	4	1	04	30-44	2	55-64	1	0	0	0	1	16	1
21	092	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	11	1
21	092	1	2	07	4	1	04	55-64	1	18-29	2	0	0	0	1	13	1
21	092	1	2	03	4	1	05	30-44	1	     	 	0	0	0	1	08	1
21	092	1	2	01	4	1	05	55-64	1	     	 	0	0	0	1	18	1
21	092	1	2	07	3	1	02	45-54	1	30-44	2	0	0	0	1	09	1
21	092	1	2	01	4	1	02	18-29	2	55-64	1	0	0	0	1	18	1
21	092	1	2	07	3	1	02	18-29	2	30-44	2	0	0	0	2	13	1
21	092	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	14	1
21	092	1	2	07	3	1	02	30-44	1	18-29	2	0	0	0	1	18	1
21	092	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	12	1
21	092	1	2	03	4	1	02	65+  	1	45-54	2	0	0	0	2	16	1
21	092	3	2	07	4	1	10	18-29	2	     	 	0	0	0	1	20	1
21	092	1	2	03	4	1	02	65+  	1	18-29	2	0	0	0	1	12	1
21	092	1	2	03	4	1	02	30-44	1	45-54	2	0	0	0	1	07	1
21	092	1	2	01	4	1	05	30-44	1	     	 	0	0	0	1	08	1
21	092	1	2	03	4	1	05	65+  	1	     	 	0	0	0	1	08	1
21	092	1	2	07	4	1	05	18-29	1	     	 	0	0	0	1	20	1
21	092	1	2	04	4	1	02	18-29	2	18-29	1	0	0	0	2	16	1
21	092	1	2	03	3	1	04	55-64	1	45-54	2	0	0	0	1	16	1
21	092	1	2	03	4	1	04	65+  	1	18-29	1	0	0	0	1	12	1
21	092	1	2	07	3	1	04	45-54	2	30-44	1	0	0	0	1	13	1
21	092	1	1	07	1	1	05	55-64	1	     	 	0	0	0	1	16	1
21	092	1	2	07	3	1	03	55-64	1	18-29	2	0	0	0	1	13	1
21	092	1	3	07	4	1	08	18-29	2	     	 	0	0	0	1	18	1
21	092	1	2	03	4	1	05	55-64	1	     	 	0	0	0	1	20	1
21	092	6	2	04	4	1	02	55-64	2	30-44	1	0	0	0	1	15	1
21	092	1	2	08	4	1	01	30-44	1	30-44	2	0	0	0	2	17	1
21	092	6	3	08	4	1	10	30-44	2	     	 	0	0	0	1	18	1
21	092	1	2	01	1	1	01	18-29	1	18-29	2	0	0	0	1	18	1
21	092	1	2	07	4	1	04	30-44	1	45-54	2	0	0	0	1	15	1
21	092	6	2	01	4	1	02	18-29	1	30-44	2	0	0	0	1	17	1
21	092	1	2	04	4	1	01	45-54	1	65+  	2	0	0	0	1	19	1
21	092	1	2	07	4	1	10	30-44	2	     	 	0	0	0	1	08	1
21	092	6	3	07	4	1	04	18-29	1	45-54	2	0	0	0	1	13	1
21	092	8	2	07	4	1	02	45-54	2	45-54	1	0	0	0	1	10	1
21	092	6	3	04	4	1	04	18-29	1	30-44	2	0	0	0	1	09	1
21	092	1	1	01	4	1	05	45-54	1	     	 	0	0	0	1	17	1
21	092	1	1	01	1	1	02	65+  	2	30-44	2	0	0	0	2	10	1
21	092	1	2	01	4	1	04	15-17	2	30-44	1	0	0	0	1	13	1
21	095	1	2	07	3	1	04	55-64	1	45-54	2	0	0	0	1	17	1
21	095	1	2	07	1	1	01	30-44	1	30-44	1	0	0	0	1	17	1
21	095	5	1	07	3	1	03	45-54	1	30-44	2	0	0	0	1	12	1
21	095	1	2	03	4	1	04	45-54	2	55-64	2	0	0	0	2	10	1
21	111	6	2	07	4	1	06	45-54	2	55-64	1	0	0	0	1	12	1
21	111	1	2	01	4	1	05	30-44	1	     	 	0	0	0	1	16	1
21	111	1	2	01	3	1	05	65+  	1	     	 	0	0	0	1	11	1
21	111	1	2	03	2	1	02	18-29	1	30-44	2	0	0	0	2	17	1
21	111	1	2	07	1	1	02	55-64	2	55-64	1	0	0	0	1	12	1
21	111	1	2	07	3	1	05	18-29	1	     	 	0	0	0	1	08	1
21	111	1	1	01	2	1	08	65+  	2	     	 	0	0	0	1	18	1
21	111	1	1	07	2	1	07	65+  	2	     	 	0	0	0	1	15	1
21	090	1	2	03	4	1	02	30-44	1	45-54	2	0	0	0	1	18	1
21	090	1	3	07	4	1	04	45-54	1	45-54	2	0	0	0	2	17	1
21	090	1	1	01	4	1	02	65+  	1	18-29	2	0	0	0	1	17	1
21	090	1	1	03	4	1	02	18-29	1	45-54	1	0	0	0	1	14	1
21	090	1	2	01	4	1	02	55-64	2	30-44	2	0	0	0	2	12	1
21	090	4	2	01	4	1	12	55-64	2	     	 	0	0	0	1	12	1
21	090	5	2	07	3	1	04	55-64	2	55-64	2	0	0	0	2	10	1
21	090	1	2	07	3	1	11	15-17	2	     	 	0	0	0	1	18	1
21	090	1	2	07	4	3	02	55-64	1	65+  	2	1	0	0	1	12	1
21	090	1	2	07	4	7	04	45-54	1	30-44	2	0	0	0	1	15	1
